id;description;activated;type
1;Table;false;open-source
2;lavender ivory bypassing;true;applications Practical Rubber Chair Fresh
3;transmitting XML orchestrate;true;Kentucky synthesize
4;Electronics;true;Soap Chad Regional
5;architectures red;false;Persevering Program
6;mesh fresh-thinking Designer;false;front-end Chicken violet
7;Home Loan Account deposit;false;Investment Account pink Investor
8;compress;false;plug-and-play
9;Versatile real-time Rustic;true;payment
10;Product Communications Berkshire;true;District withdrawal
