id;name;latitude;longitude;details;activated
1;Secured productize;3491;44189;Saint Vincent and the Grenadines payment olive;true
2;Games;34396;43326;Savings Account cross-platform Colombia;false
3;installation e-enable feed;84403;57292;Frozen Forward Sports;true
4;cross-platform;89152;76312;bricks-and-clicks Secured;true
5;District;60382;15321;parse;true
6;Rustic;50391;27617;24 hour Investor Concrete;false
7;Refined;87260;57997;Diverse;true
8;Bolivar Fuerte backing up;85466;8536;European Unit of Account 17(E.U.A.-17) auxiliary parsing;true
9;Venezuela Checking Account;30459;5602;transmitting;true
10;open-source help-desk;32239;48604;Monaco Exclusive Incredible Fresh Keyboard;true
