id;name;description;price;product_image;product_image_content_type;activated
1;Generic Steel Tuna;website calculating;57374;../fake-data/blob/hipster.png;image/png;true
2;support Consultant;wireless Chilean Peso Unidades de fomento;9665;../fake-data/blob/hipster.png;image/png;true
3;reboot deposit Sri Lanka Rupee;withdrawal Refined Metal Car Division;6255;../fake-data/blob/hipster.png;image/png;false
4;Credit Card Account;networks infomediaries;57853;../fake-data/blob/hipster.png;image/png;false
5;throughput;Union transmitting;27988;../fake-data/blob/hipster.png;image/png;true
6;initiative green;Malagasy Ariary Gloves;54278;../fake-data/blob/hipster.png;image/png;false
7;neutral;Rustic Concrete Car;78661;../fake-data/blob/hipster.png;image/png;false
8;Oklahoma;aggregate throughput Practical;94963;../fake-data/blob/hipster.png;image/png;true
9;distributed Dynamic auxiliary;Human New Mexico Implementation;12092;../fake-data/blob/hipster.png;image/png;false
10;Shirt intangible;Prairie;45935;../fake-data/blob/hipster.png;image/png;false
